第一文型でstayとarriveの後にくる前置詞,at
be made [of] [from] [in] の違い,inだと「～で作られる（～製です）」日本製、何でできているか見た目で分かるもの（材料、形が残っている）の場合にはof、形が変わり何から作られているか見た目で分からないもの（原料）の場合にはfrom
easyやdifficultという形容詞の後ろにto不定詞がくる場合の訳,「～して」ではなく「～するには」という意味になります。
助動詞must「～にちがいない」の後ろにto不定詞が置かれる場合の訳,「～するなんて」という意味で判断の根拠を表します。
grow up to不定詞、wake up to不定詞,意味は「…して（その結果）～」となります。
疑問詞＋to不定詞,「～すればいいか（すべきか）」
in order to ～ は「～するために」書き換え,so as to
be動詞＋to不定詞（be to do）の5つの意味,1．可能「～できる」2．義務「～すべきだ」3．予定「～する予定です」4．意図「～するつもり」5．運命「～する運命である」
help＋to不定詞とhelp＋原形不定詞の違い,help＋to不定詞は過程重視<>help＋原形不定詞は結果重視
to不定詞しか、動名詞しか目的語で使えない動詞の違い,to不定詞を目的語に置く動詞は未来へ向かうような動詞になります。頭文字を取ったmegafeps（メガフェプス）と覚ぼえる。反復・中断・逃避。
forget、remember、regret、tryのto不定詞と動名詞の違い,to不定詞「～するのを忘れる(現在・未来)」、動名詞「～したことを忘れる(過去)」
stop+to不定詞、stop+動名詞の違い,stop to「～するために立ち止まる」stop ～ing「～することをやめる」
continue+to不定詞、continue+動名詞の違い,continue to定期的に続けた、continue ～ing一定期間続けた
分詞の形容詞的用法の前置修飾、後置修飾の違い,修飾する分詞の塊が１語なら名詞の前に置く、２語以上なら名詞の後ろに置く
分詞のkeep、leave“ある状態にしにしておく”の違い、,keepは意図的に、leaveは意図せず“ある状態にしにしておく”
There is・There are構文の分詞構文,There being
主格(主語の場所を修飾する)の関係代名詞whoとwhich、thatの違い,whoは人の場合、whichは人以外、thatは両方
所有格のwhoseの書き換え,of which
thatの特別用法3つ,先行詞が人と人以外の時(andで違うものが先行詞の時)、先行詞が最上級などで修飾されている時、疑問詞のwhoやwhichがある時
whoever,「～する人は誰でも」「誰が～しても」
If it were not for ～「もし～がなければ」の書き換え２つ,But for ～ とWithout ～
仮定法過去 If 主語 動詞の過去形 ～ , 主語 would（could・shoule・might）動詞の原形 ～ ,「もし～なら、～するだろう」
“I wish 主語 動詞”,「～ならなあ」「～だったらなあ」という条件なしの仮定法
not so much B as A「BというよりむしろA」書き換え,A rather than B
最上級の「…の中で」を表すinとofの使い分け,１つの場所やグループの中でという時はin、複数の中でという時にはofを用います。
far 「遠い」「遠く」最上級の不規則変化、[距離]と[程度],[距離]を表す時の比較級はfarther、最上級はfarthest[程度]を表す時の比較級はfurther、最上級はfurthest
late 「遅い」「遅く」最上級の不規則変化、[時間]と[順序],[時間]を表す時の比較級はlater、最上級はlatest[順序]を表す時の比較級はlatter、最上級はlast
